run,variable,waypoint,bias,mae,rmse,correlation,n_obs
gfs_2way_d02,wind_speed_10m,USU03,1.3085831785202027,1.4145237302780151,1.780353280109257,0.4607276732792112,5
gfs_2way_d02,wind_dir_10m,USU03,52.454348754882815,84.19521789550781,129.2217804955561,0.023782445019358132,5
gfs_2way_d02,pressure_surface,USU03,109.8765625,109.8765625,113.43491339811001,0.8642082631022676,5
gfs_2way_d02,temp_2m,USU04,3.9741955566406473,3.9741955566406473,4.5357849246278175,-0.3409290103499115,5
gfs_2way_d02,wind_speed_10m,USU04,-1.009420120716095,1.2542025494575504,1.3812811516137962,-0.2577712893274887,5
gfs_2way_d02,wind_dir_10m,USU04,-13.837152099609375,94.24166870117188,114.96609242333227,NaN,5
gfs_2way_d02,pressure_surface,USU04,-2387.628125,2387.628125,2387.9083066681364,-0.09698769743595244,5
gfs_2way_d02,temp_2m,USU05,-0.6480065917968524,2.1921911621093706,2.3273376667167875,0.44210228827760134,5
gfs_2way_d02,wind_speed_10m,USU05,2.665776739120483,2.665776739120483,3.728797807896492,0.5957803432884282,5
gfs_2way_d02,wind_dir_10m,USU05,-49.2206916809082,57.35105514526367,87.63438516015488,-0.8759498969318547,4
gfs_2way_d02,pressure_surface,USU05,55.0875,55.0875,61.28767037536231,0.9605609399772552,5
gfs_2way_d02,temp_2m,USU07,3.455062255859398,3.455062255859398,3.8060648407054316,0.9456862896935497,5
gfs_2way_d02,wind_speed_10m,USU07,2.4255166351795197,2.4255166351795197,2.833303329329423,NaN,5
gfs_2way_d02,wind_dir_10m,USU07,165.66421508789062,165.66421508789062,172.7537784203665,NaN,2
gfs_2way_d02,pressure_surface,USU07,4.68125,13.1875,17.91901949788618,0.9692599273553026,5
gfs_2way_d02,temp_2m,USU08,5.160573730468772,5.160573730468772,6.001721533626256,0.6470698583925979,5
gfs_2way_d02,wind_speed_10m,USU08,NaN,NaN,NaN,NaN,0
gfs_2way_d02,wind_dir_10m,USU08,71.92210693359375,71.92210693359375,79.15410516413151,NaN,5
gfs_2way_d02,pressure_surface,USU08,-258.2484375,258.2484375,259.02868062292623,0.983639682286636,5
gfs_2way_d02,temp_2m,UUT01,3.1956308593750222,3.1956308593750222,3.3223290071790696,0.985020854726219,5
gfs_2way_d02,wind_speed_10m,UUT01,2.3625123314857484,2.3625123314857484,2.9985461021915314,0.6493887037484593,5
gfs_2way_d02,wind_dir_10m,UUT01,-88.78718188476562,182.6020270996094,194.01520950842894,-0.6093400908561541,5
gfs_2way_d02,pressure_surface,UUT01,-223.76875,223.76875,224.90722056289817,0.9627963061658921,5
nam_2way_d02,temp_2m,KVEL,1.1151257324218975,1.4014221191406384,1.5821940435856992,0.7651382971529735,5
nam_2way_d02,wind_speed_10m,KVEL,0.10168620014190673,0.5905108842849731,0.6300183995506561,0.6188838833778144,5
nam_2way_d02,wind_dir_10m,KVEL,106.22553100585938,210.4416931152344,241.56774017806393,-0.4787302270520272,5
nam_2way_d02,pressure_surface,KVEL,103.6500624999986,103.6500624999986,105.419952466628,0.9568401714831553,5
nam_2way_d02,temp_2m,QRS,0.9134790039062732,0.9134790039062732,1.3669353154037238,0.8808915188120967,5
nam_2way_d02,wind_speed_10m,QRS,0.6616449728012086,0.8818674230575562,1.3381531396097819,-0.3024683874316546,5
nam_2way_d02,wind_dir_10m,QRS,79.76704382324218,100.91858239746094,142.93191701331546,-0.46978706766536676,5
nam_2way_d02,pressure_surface,QRS,NaN,NaN,NaN,NaN,0
nam_2way_d02,temp_2m,QV4,-2.7338806152343524,2.7338806152343524,3.3819854728151983,0.7615910112885927,5
nam_2way_d02,wind_speed_10m,QV4,-0.5300834493637085,0.6635648374557495,0.7125535890507307,-0.0583371486273371,5
nam_2way_d02,wind_dir_10m,QV4,-68.4200927734375,126.503125,142.47904507362747,0.22896575690620877,5
nam_2way_d02,pressure_surface,QV4,NaN,NaN,NaN,NaN,0
nam_2way_d02,temp_2m,USU01,2.969636230468773,2.969636230468773,3.3376745401821473,0.4031799907717833,5
